Designator,Mid X,Mid Y,Rotation,Layer
C1,204.3,-114.57,270.0,top
C2,194.2,-73.3,0.0,top
D1,201.47,-73.76,0.0,top
D10,215.73,-81.31,0.0,top
D2,208.77,-73.76,0.0,top
D3,215.88,-74.02,0.0,top
D4,223.18,-74.02,0.0,top
D5,223.02,-81.31,0.0,top
D6,222.99,-95.83,0.0,top
D7,215.54,-88.53,0.0,top
D8,222.99,-88.38,0.0,top
D9,208.43,-81.16,0.0,top
J1,193.59,-80.435,0.0,top
J2,198.71,-80.44,0.0,top
R1,204.14,-104.41,270.0,top
R2,203.83,-92.93,270.0,top
U1,196.695,-90.99,0.0,top
U2,197.14,-108.3,0.0,top
